中文名称,件号,手册章节
餐车锁扣（大）,MD21-0011或者3202GP05MD24,
头等舱座椅防撞堵盖,48233017L044300MBG,
头等舱扶手前护壳(上部),48918307L044300MBG,CMM25-25-82
垃圾箱口盖螺钉,MS51957-29,
垃圾箱口盖弹簧,SP9120MBG,CMM25-39-60
垃圾箱中部隔框,SR80-052,CMM25-37-02
垃圾箱口盖中文标牌,7378GU4BSA66MBG,CMM25-37-02
34ABC行李架边条破损,412A7111-1060D,
子母贴,SJ3526BLK1ADH,
行李架内侧螺钉,BACS12FA3K3,
后厨房左侧弹簧锁扣,A23034-2-1S,
俯仰姿态仪,5002R,
前轮刹车片,69-76189-2,
勤务门观察窗粘接子母扣,BMS8-285TY4CL1 或者SJ3526BLK1ADH,
37A小桌板,1002948-203CABMBG,CMM25-22-57
小桌板螺钉,NPS24693-S47,CMM25-22-57 P263
桌板衬套,43702005MBG,
杂志袋弹簧固定器,1019923-301BHT,
41B应急门桌板,1002949-003CAB,
餐车圆形挡块,SP0221MBG（1EA）0632UNC03SS0GCP（1EA）,
右后门侧边应急灯罩，没有字,207377-1027,
副驾的手持麦克,903-1341,
右后门指示箭头,BAC29PPS35855,AMM11-32-00
左后门指示箭头,BAC29PPS58269,
右后门安全警示带卡扣,412W1137-1A,
机组休息区卡块,413A3314-9B,
卫生间门门框封严条,D72D71546-111,IPC25-41-40-33M
后厕所门框中部封严条,D72D70212-111A,IPC25-41-17-30M
后厨房顶上的通气格栅,411N3213-1H,AMM21-26-03
左侧克鲁格襟翼封严条两根破损,114A1801-7/114A1801-13,
右侧克鲁格襟翼封严,114A1801-8/              114A1801-4    ,
3号后缘襟翼封严,114A1801-8,
3号整流罩中部左侧封严条,113A9350-11,
3号整流罩上部最右边一颗螺钉,BACB31A3-7,
IDG重置次数标牌,766146/764428,CMM24-11-85
IDG勤务门止档块,314-2217-1,CMM71-13-00
救生衣在座椅下方，入座后扣好安全带,1003624-009ACTMBG和:1003624-011ACT,CMM25-23-08
货舱火警面板爆炸帽指示灯盖,"682-1001-001（盖子）
737AS15（灯泡）",IPC33-11-51-03
发动机火警控制面板爆炸帽指示灯盖,682-1001-001,CMM26-10-48
前厕所门防撞条堵头,432W7101-6J,CMM25-48-66
厨房警告提示标牌,SHJH600784-1,CMM25-39-59
存放应急设备,414A5117-467MBG,
氧气瓶标牌,414A5117-1818MBG,
位置卡块33HJK,414A5137-297BMBG,IPC11-32-04
中舱门帘绑带位置卡块,"413A3314-8B（向左）413A3314-9B（向右）
",IPC11-32-04
左前应急门拉绳护壳内两颗螺钉,82-99-341-18,IPC52-22-51
应急门提升把手盖板内螺钉,BACS21AP180RP,
空调出风口盖板缺失一个螺钉,BACB30NN3K4,
主起落架支架卡箍衬垫,BACC10FY088TE,IPC32-11-00
水平安定面和机身连接处螺钉,BACB30VF3K5,
左发高压级活门下游管路支架连杆组件,332A2341-4、BACB28AK04-030、BACB28AK04-042,IPC36-11-01
35ABC窗灯处固定片,65C33289-217,IPC33-21-51-25
"333BB盖板,升降舵前方","BACB30XD3K10
BACN10KE3B6CD（托板）
3B2/3/4/5CD均可，安装托板的铆钉bacr15ba3ad",IPC55-10-00-12
E6架螺钉,BACS21EE6R,
50ABC阅读灯灯罩,11-6557-7G,IPC33-25-00-28
头等舱中扶手盖皮固定钉, MS27039-0807,
左发吊架内侧防火封严,"311A2535-34(封严)  
DAPC02200（胶）",
地毯压条(宽),BAC1522-706-7923MBG,
襟翼防磨盖垫片,NAS1149E0332R,amm27-51-24
G2厨房有一旋钮止挡组件,SP9068N,CMM25-37-02 
头等舱座椅救生衣盖板,47029757BD07MBG,CMM25-25-82
气象雷达收发机风扇固定螺钉,MS51957-14,IPC34-43-31-01
MEL处挡杆,BCREF14275,IPC25-11-00-19 
前储物柜门帘绑带,413A3611-1HM,IPC25-24-50
右发IDG馈线保护盖,762096,IPC24-11-11-50 
救生衣袋子红色拉绳, 1003118-001,
水滤盖板螺钉,MS24693C276,
caution英文标牌,BAC27DPA4958MBG,
紧急出口英文标牌,BAC27DPA5263MBG,
右后舱门“滑梯在内”标识,414A5117-3299MBG,IPC11-32-01-65J 
后厨房跳开关面板有一处指示灯罩,250898,CMM25-39-60
EFB支架,PAB001,
右后应急门下部格栅螺钉,BACS12FA3K12WS,IPC25-21-20-03
应急门上部灯罩,5862-00,IPC33-21-51-74
储物柜锁扣,SP9116,
证件夹,G77F2500086D001-001,
烤箱钉,BACB30NM4K15 ,
厕所垃圾箱盖板防火门,"NAS1801-3-10  （螺钉）
NAS1149D0332K （垫片）",
反推防火封严胶,DAPCO2200,
头等舱座椅防撞堵盖,48233017L044300MBG,
座椅扶手后盖,1002993-001CAHMBG,
杂志袋弹簧 ,1002634-003MBG,
扎带  ,BACS38K7,
沉头垫片,BACW10U-C10P,
防火胶,DAPCO2200,
IDG加油口盖连接钢索, 87-5169, IPC 24-11-11-50
拉铆钉,BACR15DR3AC3,
烟雾探测器标牌,BAC27NEC261MBG 、BAC27NEC292,
座椅作动筒护壳,1003107-003,
BMS-5-95:PS870B2（替代件号：PS870B1/2）/pro-seal 870 B-2,PS870B1/2,
BMS3-38：COR-BAN27L,BMS5-45：PR1776MB2,
390传感器,129666-3,
预冷器活门,63292146-1,
发动机防冰排放口盖板螺钉,NAS8703U4,
50h座椅防撞条,1002636-302ACLMBG,
57C座椅右侧防撞板,1002636-301ACLMBG,
电子舱地板螺钉,NAS514P1032-14,
氧气瓶和封圈,氧气瓶801307-00和封圈0041-1092BAC,
地毯胶带,POLYKEN 108FR NAT,
头等舱座椅防撞堵盖,48233017L044300MBG,
座椅扶手后盖,1002993-001CAHMBG,
杂志袋弹簧 , 1002634-003MBG,
座椅桌板衬套螺钉,NPS24694-S3/NPS24693-S47, CMM25-22-57
沉头垫片,BACW10U-C10P,
防火胶,DAPCO2200,
IDG加油口盖连接钢索,87-5169 , IPC 24-11-11-50
烟雾探测器标牌,BAC27NEC261MBG    BAC27NEC292,
MEL处挡杆, BCREF14275  , IPC 25-11-00-19(040)
启动电门，包含（启动电门6600-2849，垫片：69-59092-1）,530938-1,IPC 74-31-52-01
插头清洁剂,CRCO2016,
垃圾箱盖板弹簧,SP9120MBG,
厨房红色旋钮组件,SP9068O,
安全警示带标牌，起飞降落,G7381100025D001-001,
左后门指示箭头缺角破碎,BAC29PPS35853,
1A 35K客舱玻璃裂纹 ,411A1733-1B 或 411A1733-1BMBG//411A1733-31B 或 411A1733-31BMBG,
48HJK侧窗灯卡子缺少螺钉,BACS12ER3K10,
反推打开作动筒标牌,"1FA1401295
1FA1401296
",
救生衣在座椅下,1003624-243ACTMBG,
入座后扣好安全带,1003624-241ACTMBG,
救生衣在座椅下方，入座后扣好安全带,1003624-009ACTMBG和:1003624-011ACT,CMM25-23-08
左发9点钟进气道外圈铆钉松动,CR3524-6-03铆钉,
后货仓那个是尼龙圆柱形状的材料整体,手柄66-18189-1,
刹车,2-1587-1,
46ABC应急灯灯罩,10-1042-10 ,"IPC33-51-03-60F
"
空调通风口罩壳卡不住,11月-40,
左侧克鲁格襟翼最内侧搭铁线即将断裂,BACJ40AB27-8,IPC27-81-31-04 ITEM72
左侧克鲁格襟翼，由内向外第二个搭地线,BACJ40AB27-6,IPC27-81-31-04 ITEM73
左侧克鲁格襟翼，由内向外第3个搭地线,BACJ40AB24-7,IPC57-42-00-07 ITEM145
左侧克鲁格襟翼，由内向外第4个搭地线,BACJ40AB27-8,IPC27-81-31-03 ITEM67
左侧克鲁格襟翼，由内向外第5个搭地线,BACJ40AB26-6,IPC57-42-00-06 ITEM32
机身下部余水孔,140N2022-1,
副驾3号遮阳帘,170-14461-990,
大翼下表面螺钉,BACB30NT3-3,
排污盖板内搭地线断丝,BACJ40AC44-5,IPC52-49-07-01-75 
左大翼内侧扰流板搭铁线,BACJ40AB20-10,27-62-12-01-35
左后乘务员座椅安全带,2100002-01-048,
,"平尾
BACB30XD3K8  5EA
BACB30XD3K10  5EA
BACB30ZE4-7  5EA
BACB30ZE4-10  3EA
货仓
BACB30VF3K2  2EA
BACB30VF3K3  4EA
BACB30VF3K4  4EA",
PUSH TO UNLOCK,1FA1401296,
WARNING,，01295,
"333BB盖板,升降舵前方",BACB30XD3K8 ,
左发火警探测线屏蔽网断了,"P440  1IN
BMS13-54  TY3CL1GRDFINC",
左发尾喷四点钟一颗铆钉断裂，发动机尾喷口铆钉,NAS1200-6-5,
烤箱钉,BACB30NM4K15 ,
证件夹,G77F2500086D001-001,
厨房锁扣,SP9116,
液压油,HYJET V,
绿油,MOBIL GREASE33,
左后厕所垃圾箱盖板防火门缺少螺钉垫圈一套,"NAS1801-3-10   1EA螺钉
NAS1149D0332K   2EA垫片",
大翼照明灯,HLX64621,
右后应急门下部格栅缺少一颗螺钉,BACS12FA3K12WS,IPC25-21-20-03
左后厕所马桶圈缺少一个马桶垫,G7372500034D001,CMM25-48
左前和左后应急门上部灯罩有裂纹,5862-00,IPC33-21-51-74
42HJK行李架上部灯罩,5376-00 或 5376-01,IPC 33-51-03-90A项目100/395
三号窗下面的装饰板螺钉,WHS10F6TPKL10GY,
胶,RTV102,
金属胶带,3M425-2或者425/2INCH,
干膜防腐剂,MOLYKOTE D321R,
清洗剂,RH-P-680,
除锈剂,WD40,
货舱胶带,621/3INCH,
清洁剂,TURCO ALTREX 24,
防腐剂,COR-BAN27L替代BMS3-38,
防咬剂,LF-AS328替代BMS3-28,
登机门门槛防磨条, 65-69063-20 ,IPC25-27-21
烤箱旋钮,239465MBG,
38K座椅桌板桌板扣失效,1007790-001CXV,
空调汽滤,PMA件：P196698PY,
应急灯泡,767,
氧气瓶,氧气瓶801307-00和封圈0041-1092BAC,
34A/51J/52J桌板衬套损坏,43702005MBG,
44C/38k/39H座椅后扶手皮,1002993-001CAHMBG,
座椅安全带,2010-1-611-2428,
47K/48K无桌板标牌，桌板标牌2套,1003624-009ACTMBG、1003624-011ACTMBG,
右后门观察窗裂纹,411A2127-4A,
垃圾箱盖板弹簧,SP9120MBG,
水滤盖板螺钉,MS24693C276,
机身余水口,140N2022-1,
雨刮条垫片,C20885-0022,
荧光条,SG8191-1/SG99041R55,
垃圾箱盖板的螺钉,MS51957-29,
FMC大白帽,15PA90-6W,
左发左侧整流罩上拖把螺帽缺失,"NAS1399D4-3铆钉/托板BACN10JR6CFD已加
按如下临时处理，航材已加。
1. Remove the damaged nutplate.

2. Perform a detailed visual inspection (DVI) at x10 magnification of the discrepant area to ensure there is no additional damage.

3. Perform HFEC inspection of the rivet holes per 737 NDT Manual Part 6, 51-00-00, Procedure 16 to verify a crack-free condition. Ensure the diameters of the rivet holes are within DWG tolerance.

4. There is no damage per Steps 2 and 3.

5. Apply a chemical conversion coating to bare aluminum surfaces per SOPM 20-43-03.

6. Install the BACN10JR6CFD nutplate with NAS1399D4* blind rivets per SRM 51-40-02.

7. After nutplate installation, install 315A2258 de-activation pin or equivalent tooling pin to align floating nut with bushings. Seal floating nut to base using BMS5-26 per BAC5000 fillet seal requirements. Leave pin installed until sufficient curing of sealant has occurred to retain aligned position. Nut movement shall be limited by cured sealant. Sealant not allowed in hole or threads of nutplate or hole of fitting detail.

8. Replace the installed blind rivets with BACR15GF4D* solid rivets at next C Check or 24 months, whichever comes first.",
右发左侧反推打开作动筒漏油,1FA14012-8,
地板压条(宽)破损,（宽）5180706792窄：5180180792,
右前门少一插座盖板,"SAM214-29,标牌 BAC29PPS49021MBG",
右2号窗下标牌,BAC27DPA3687MBG；BAC27DPA5127MBG；BAC27DPA3686MBG；BAC27DPA5125MBG,
左2应急门灯管, 5106WW,
液压A系统EMDP上部线束与拉绳刮磨,P440 1IN,
后乘务员座椅下面盖板锁扣, SAM222-18,
双面胶带,POLYKEN 108FR NAT,
搭铁线和胶, BACJ40AB27-8   PS870B1/2,
前储物柜上部缺少封严条,BACP18BC02A04P,
2号厨房保温箱侧面的封严条破损,8922-11-0000-10,
右前隔板门帘绑带缺少卡扣,413A3611-1HMMBG,
1A座椅前上护罩护壳裂纹,48918307L044300MBG,
1K座椅侧装饰条裂纹,48233011L044300MBG,
1H座椅边扶手皮(左翻)裂纹,48918051BD06,
外流活门黑色防磨片,21990-02 ,
前门槛浮子活门管路卡箍,BACC10JB026C034,
 左ACM出口波纹管破损,AS1505-18A0032,
右1和右2应急门侧窗灯胡壳边角处壳子,71320-08,
插头清洁剂,LPS03116,
刹车储压器垫圈, NAS1149DN632H（第一层）NAS1149D0516H（后四层）,
请勿存放物品,BAC29PPS60042MGB（中文）BAC29PPS60043MGB（英文）,
主起落架舱门搭铁线,BACJ40A21-8,
再循环风扇汽滤卡子,214T5408-2,21-25-01-01  270/445
第二观察员氧气面罩上部储物盒顶部盖板,232A1432-7,
后厨房长红色餐车(向左翻)挡块失效,SP9098MBG,
地图夹固定钉,NAS602-22P,
54K座椅桌板衬套破损和缺少螺钉,螺钉P/N:NPS24694-S3  1EA衬套P/N:43702005(有件),
32HJK遮阳板裂纹,32HJK遮阳板裂纹,
1C桌板缺少圆头螺钉,LP35206-225 ,
31hjk侧窗灯外壳缺少卡子,71320-08,
减摆器开口销,BACP18BC02A06P,
右发核心机右侧上部火警探测组件接线片松动，导线和接线片接触处松动,接线片YAV14G88,
防磨带,T25F-C0,
, EC 3532B/A,
左后门和右后门上部方形灯罩掉漆, 11-4269-1E,
发动机防冰出口盖板螺钉,NAS8703U4,
左后厕所门框缺失一颗紧固件,NAS514P1032-8,
右后厕所折叠门框螺钉丢失一颗,NAS514P632-7,IPC25-41-17-52
左大翼3号后缘襟翼后段整流罩有一颗紧固件松动,BACB31A3-7,
前登机口摄像头破裂,8410B1-204-105,
右大翼最靠近发动机那根搭铁线断裂,BACJ40AB27-8,
观察员座椅销子,1C3109-1或1C3109-1MBG,
前舱隔板门帘绑带失效,413A3611-1HMMBG,
左后厕所卷纸轴钢索脱丝,D73D70034-101,CMM25-48-67
左后乘务员座椅扭簧断裂,2D2023-13,CMM25-29-86
后厨房左后垃圾箱盖板下部柜门缺少螺钉的阴塞,,
1H左边防撞条破损,48233012L044300或48233012L044300MBG,CMM25-25-82
1C座椅后护壳下部破损,48233015BNG,CMM25-25-82
风挡加温标牌,THE10S-A,
右后厕所门框底部螺钉丢失,NAS514P1032-8,
HF天线防风膜,3M8673-10,
预冷器kiss封严,82C10020-2,
前储物柜门帘绑带扣,413A3611-1HMBG（无件413A3611-1HMMBG、413A3611-1HM）,
43H座椅按钮失效,按钮无件SP21651B，已加钢索SP23997C27,
前客舱顶部应急灯罩破裂,.5376-01,
P19耳机盖板最下面的锁扣盖不严，且内部封圈破损,锁扣：BACL10AM090-256，铆钉：BACR15GF6D5,
前储物柜仅供存放应急设备和氧气瓶标牌破损,414A5117-467，414A5117-1818,
左后厕所冲水马桶按钮外科裂纹,D72D93002-111,
后厨房中部红色小旋钮丢失,旋钮：SP0221内六方：0632UNC03SS0GCP,
左后安全警示带卡扣缺损,412W1137-1A, IPC 25-66-10-03项目20
8A座椅桌板螺钉装错,NPS24693-S47,
1H中扶手遥控器接线头,RDFA5001-05或RD-FA5001-05,CMM 25-25-82图14项目75
,"左侧反推D1008：BAC27DEL1181
左侧反推V148：BAC27DEL1179",
副驾驶扶手皮套破损,1A090-0129AJMBG,CMM25-11-39  
第一观察员座椅肩套,1C7004-11ABEMBG , CMM25-11-07
前登机门滑梯预位标牌裂纹,414A5117-3299MBG,
2号厨房下部靠过道防踢板破损,7378GUF2SA11-3,
货舱灯泡,2233,
货舱门缓冲器,140210-1,
前乘务员座椅(靠过道)扭簧断裂,2D2023-7,
前厕所抽纸盒螺钉垫片,  NAS1801-06-6（NAS1149DN616K,
右后厕所门边框缺少一颗螺钉, NAS514P1032-7,
驾驶舱机长座椅背部救生衣存储袋粘扣失效,3A505-0003VA魔术贴有件，救生衣存放袋 0A226-0299无件,
应急门扶手掉皮,414A1420-8D,
左后厕所门中部封压条破碎,D72D70212-111A,
31B座椅(左翻)桌板缺少桌板中间轴,47000285,
货舱灯螺杆, BACS12FA3K7,
,"2个STUD  BACS21ED9AR
2个索环    BACG20X4",
尼龙搭扣 , A840R0050L694SI-2  A840R0050H694SC,
地锚螺杆2颗,BACS12GR3L10,
IDG重置次数标牌,766146,
地锚螺杆2颗, BACS12GR3L10,
拉环1个,BACR12BU17SN,
尼龙搭扣 ,A840R0050L694SI-2  A840R0050H694SC,
671BB盖板,BACB30NN3K4,
右后门观察窗玻璃,411A2127-4A,
前乘务员座椅坐垫套破损（靠过道）,坐垫罩子2D7008-11DFW,
电话线,020003263,
电话,285W0024-1M/285W0024-1B,
电话标识,BAC27DEX6838,
机组侧氧气面罩盒测试按钮,407428,左门组件
头等舱座椅中部救生衣壳红色绑带,1004058-421,CMM25-25-82
E厕所卷纸盖板钢索,D72D70337-917,CMM25-47-72
阅读灯灯罩(老飞机),11-6557-7G,IPC33-23-00-28
应急门提升把手盖板内螺钉,BACS21AP180RP,IPC52-22-51-01A
地毯压条,BAC1522-706-7923(MBG),
前储物柜门帘绑带,413A3611-1HM(MBG),IPC25-24-50
经济舱座椅下部救生衣袋及红色拉绳,1003095-001,CMM25-22-57
,1003118-001,
应急门下部和格栅中间胶条上的螺钉,BACS12FA3K12GF或BACS12FA3K12WS,IPC25-21-20-03
内层玻璃（有裂纹）,411A1733-1B(MBG)或者411A1733-31B(MBG),IPC 25-21-12-34B
婴儿安全带,1027-2-011-8011/2010-5-011-2428,
"ABC座椅下部（LH）电子罩壳
Shroud Assembly - SEB Housing",1003007-002,CMM25-22-57 P251
"HJK座椅下部（RH）电子罩壳
Shroud Assembly - SEB Housing",1003007-001,
旅客座椅正常安全带,2010-1-611-2428,CMM25-22-57 P243
机组休息区位置标牌（向左）,413A3314-8B,IPC25-24-10
机组休息区位置标牌（向右）,413A3314-9B,IPC25-24-10
乘务员安全带,2100002-01-048,CMM25-29-86 P157
客舱海伦灭火瓶（红色瓶体）,898052,
PSU空调出风口罩壳（老飞机）,3740-11,IPC21-24-00-28B
厕所灯管,5113WW,
阅读灯灯泡,55-2253-5,IPC33-23-00-28
,9204,
阅读灯灯罩,11-6557-7G,IPC33-23-00-28
侧窗灯罩间隙填充灯罩（小）,71320-08,IPC33-21-51-74
或：窗灯间固定片,65C33289-217,IPC33-21-51-25
禁止吸烟灯泡,7387,IPC33-23-00-28B
固定着陆灯,Q4559X,IPC33-42-01-01A
,65-53875-19,
大翼照明灯,HLX64621,
应急灯,电池：D717-01-100,
,电源供应：D717-02-001,
行李架上应急灯灯罩,10-1042-10或10-1042-7,IPC33-51-03-60F
货舱灯灯泡（天花板）,2233,IPC33-36-00-15
货舱灯灯罩（天花板）,15-0712-12,
货舱灯灯泡（门槛）,1665/1665IF,IPC33-36-00-16-040
BSI窗灯,9651-35-000X（数位置）,
前轮舱灯泡（大/方形）,3011/CM3011/MS25235-3011,"IPC33-30-51-50A-025
IPC33-32-00-01A-040
IPC33-32-00-02A-070"
主轮舱灯泡（大/方形）,3011/MS25235-3011/CM3011,IPC33-32-00-01A-040
主轮舱灯泡（小/圆形）,1665,WDM EQ L174 L175
应急门上部灯罩（有裂纹）,5862-00,IPC33-21-51-74
"（5676）43ABC侧窗灯
左二应急门后第一个",9650-35-0002,
"（5676）55ABC侧窗灯
从后往前数第三个",9650-35-0005,
"(5770)38ABC侧窗灯闪烁
左前应急门前数第四个",（AW）9651-35-0004,
驾驶舱三证证件夹,G77F2500086D001-001,"EO-CZ-7NG
-25-240004R2"
货舱快卸钉,BACS21EE6R,E6-1架
货舱快卸钉分3部分,BACS21ED9/10/12/13AR,IPC25-50-52-48
货舱快卸钉分3部分,BACG20X9,IPC25-50-52-48
货舱快卸钉分3部分,BACR12X1,IPC25-50-52-48
货舱门槛处螺钉,BACB30VF3K4,IPC53-13-00-08
后货仓门槛前部填充块缺损,143A8334-1,IPC53-13-00-08  92
后货舱门槛后部填充块,146A8344-2,IPC53-13-00-08  107
前货舱门槛前部填充块,143A8334-1,IPC53-13-00-08 97
前货舱门槛后部填充块,143A8834-2,IPC53-13-00-08 98
后厨房右上角长方倒角型储物柜门锁,SP9116,
后厨房水滤（方形盖板）上螺钉,MS24693C276,CMM25-39-60(485)
六方螺栓（固定厨房烤箱用）,BACB30NM4K15,
垫片（固定厨房烤箱用）,66-2955-4,
沉头螺栓（改装前固定烤箱用）,MS24694S108,
后厨房跳开关面板绿色指示灯（罩）,250898或FD90-0200,CMM25-39-60
止挡组件外露手柄分解,旋钮SP0221；垫片SP0219，攻丝0632UNC03SS0GCP,CMM25-39-60
G2/G4厨房旋钮止挡组件,SP9068O /SP9068N,CMM25-39-59
厨房垃圾箱盖板弹簧,SP9120(MBG),CMM25-37-01 P106
后厨房锐三角形挡块（小）,【左】C51120B；【右】C51120C,
左右后厕所门框边上的封严条,D72D71546-111,IPC25-41-40-33M
左右后厕所门中部中央的封严条,D72D70212-111A,IPC25-41-17-30M
马桶圈上的垫块,"D72D72591-111或
者G7372500034D001",
客舱多用AB胶（粘性）,EC 3532B/A,
客舱装饰胶（涂白色）,RTV102,
标记胶,EC1252,
异丙醇,TT-I-735A,
胶带（编织层临时修复）,P440 1IN,
870密封胶,PS870B1/2,
防水胶（马桶下水等部件粘接）,RTV3145或者RTV732,
防磨胶带（可用发动机高温高振）,P440 1IN / P440 1INCH,
扎绳（ENG用高温高振防腐）,BMS13-54 TY3CL1GRDFINC,
双面胶（如驾驶舱三证夹粘贴）,950 2INCH / 3M950-2,
液压油,HYJET V,
绿油,MOBIL GREASE33,
防火胶,DAPCO2200,
保险丝（粗）,MS20995C32,
保险丝（细）, MS20995C20,
纸胶带,3m232-2（1寸或2寸）,
电气插头清洁剂, LPS CFC FREE,
空速管套, KPC3-825-8,
厕所冲洗电门, ms25025-1,
常用防水接线管, D436-37,
加长安全带, 500903-401-2251,
演示包内  氧气面罩,289-801-240,
轮舱储压器压力表,2000-15或6931-700,IPC32-41-51-07
水平安定面与机身连接处封严上螺钉,BACB30VF3K5/3K7,
前轮刹车片,69-76189-1或69-76189-2,IPC32-22-11-02
大翼下表面危险标牌 中英文,BAC27DXT62,IPC11-24-01-13A
机组氧气瓶、封圈,801307-00(钢制)/B42365-1（复材）,参考AMM12-15-21
